Timestamp,PersonBox,MaskLabel
2025-08-12T17:23:50.040325,"346,239,1547,1074",No Mask
2025-08-12T17:23:50.174375,"346,241,1546,1074",No Mask
2025-08-12T17:23:50.305486,"346,237,1543,1073",No Mask
2025-08-12T17:23:50.443110,"348,241,1545,1074",No Mask
2025-08-12T17:23:50.569986,"347,241,1545,1074",No Mask
2025-08-12T17:23:50.712924,"345,237,1542,1073",No Mask
2025-08-12T17:23:50.837694,"356,241,1544,1074",No Mask
2025-08-12T17:23:50.974134,"361,242,1542,1074",No Mask
2025-08-12T17:23:51.107514,"362,242,1542,1074",No Mask
2025-08-12T17:23:51.237365,"354,240,1540,1073",No Mask
2025-08-12T17:23:51.375070,"349,239,1538,1073",No Mask
2025-08-12T17:23:51.435144,"1649,323,1919,986",No Mask
2025-08-12T17:23:51.580237,"346,242,1542,1074",No Mask
2025-08-12T17:23:51.642476,"1747,4,1919,1076",No Mask
2025-08-12T17:23:51.775137,"346,242,1543,1074",No Mask
2025-08-12T17:23:51.842258,"1581,58,1919,1071",No Mask
2025-08-12T17:23:51.977935,"1430,152,1919,1069",No Mask
2025-08-12T17:23:52.040842,"344,236,1542,1073",No Mask
2025-08-12T17:23:52.176555,"346,237,1552,1073",No Mask
2025-08-12T17:23:52.237992,"1268,199,1737,886",No Mask
2025-08-12T17:23:52.376979,"346,238,1544,1073",No Mask
2025-08-12T17:23:52.437773,"1178,243,1755,1046",No Mask
2025-08-12T17:23:52.576812,"346,237,1548,1073",No Mask
2025-08-12T17:23:52.636713,"1154,304,1700,1002",No Mask
2025-08-12T17:23:52.780035,"346,234,1542,1073",No Mask
2025-08-12T17:23:52.906191,"348,239,1544,1074",No Mask
2025-08-12T17:23:53.039952,"348,239,1544,1074",No Mask
2025-08-12T17:23:53.173435,"347,241,1543,1074",No Mask
2025-08-12T17:23:53.307441,"347,241,1543,1074",No Mask
2025-08-12T17:23:53.440247,"347,241,1545,1073",No Mask
2025-08-12T17:23:53.572947,"348,242,1544,1074",No Mask
2025-08-12T17:23:53.707087,"348,244,1543,1074",No Mask
2025-08-12T17:23:53.837967,"349,242,1544,1074",No Mask
2025-08-12T17:23:53.973957,"348,237,1543,1073",No Mask
2025-08-12T17:23:54.112061,"345,236,1544,1073",No Mask
2025-08-12T17:23:54.241566,"341,237,1545,1073",No Mask
2025-08-12T17:23:54.306359,"637,477,828,816",No Mask
2025-08-12T17:23:54.438209,"337,238,1544,1073",No Mask
2025-08-12T17:23:54.571131,"343,240,1545,1075",No Mask
2025-08-12T17:23:54.631187,"612,489,813,820",No Mask
2025-08-12T17:23:54.777753,"348,241,1544,1074",No Mask
2025-08-12T17:23:54.836290,"512,517,788,886",No Mask
2025-08-12T17:23:54.971949,"335,243,1542,1075",No Mask
2025-08-12T17:23:55.031968,"424,523,755,965",No Mask
2025-08-12T17:23:55.178060,"338,243,1543,1074",No Mask
2025-08-12T17:23:55.237106,"408,526,719,964",No Mask
2025-08-12T17:23:55.378883,"342,242,1542,1075",No Mask
2025-08-12T17:23:55.438514,"405,544,683,969",No Mask
2025-08-12T17:23:55.577483,"342,243,1542,1075",No Mask
2025-08-12T17:23:55.637583,"384,549,663,1023",No Mask
2025-08-12T17:23:55.779358,"343,242,1541,1074",No Mask
2025-08-12T17:23:55.838990,"372,555,627,1039",No Mask
2025-08-12T17:23:55.975235,"345,241,1542,1074",No Mask
2025-08-12T17:23:56.035543,"345,559,570,1059",No Mask
2025-08-12T17:23:56.176207,"349,242,1542,1074",No Mask
2025-08-12T17:23:56.235033,"323,565,539,1043",No Mask
2025-08-12T17:23:56.382088,"353,239,1539,1073",No Mask
2025-08-12T17:23:56.443551,"321,563,533,1073",No Mask
2025-08-12T17:23:56.574933,"354,243,1539,1074",No Mask
2025-08-12T17:23:56.635181,"322,561,515,1072",No Mask
2025-08-12T17:23:56.773655,"353,244,1538,1075",No Mask
2025-08-12T17:23:56.834180,"321,562,511,1072",No Mask
2025-08-12T17:23:56.974827,"346,243,1540,1074",No Mask
2025-08-12T17:23:57.034225,"325,558,534,1069",No Mask
2025-08-12T17:23:57.175111,"352,244,1532,1073",No Mask
2025-08-12T17:23:57.235555,"338,548,563,1040",No Mask
2025-08-12T17:23:57.379110,"343,241,1542,1073",No Mask
2025-08-12T17:23:57.439326,"367,522,577,1010",No Mask
2025-08-12T17:23:57.578533,"344,244,1542,1073",No Mask
2025-08-12T17:23:57.639502,"361,516,597,1013",No Mask
2025-08-12T17:23:57.777229,"343,244,1544,1073",No Mask
2025-08-12T17:23:57.836868,"370,527,644,997",No Mask
2025-08-12T17:23:58.033022,"438,517,722,940",No Mask
2025-08-12T17:29:09.064686,"333,396,1451,1074",No Mask
2025-08-12T17:29:09.247131,"339,397,1448,1073",No Mask
2025-08-12T17:29:09.387980,"339,401,1449,1073",No Mask
2025-08-12T17:29:09.527655,"337,399,1450,1074",No Mask
2025-08-12T17:29:09.642832,"338,392,1451,1074",No Mask
2025-08-12T17:29:09.781198,"335,394,1451,1074",No Mask
2025-08-12T17:29:09.915685,"336,394,1451,1074",No Mask
2025-08-12T17:29:10.047259,"336,397,1453,1074",No Mask
2025-08-12T17:29:10.184711,"337,393,1450,1074",No Mask
2025-08-12T17:29:10.324195,"336,381,1456,1074",No Mask
2025-08-12T17:29:10.447410,"327,356,1494,1075",No Mask
2025-08-12T17:29:10.585115,"298,324,1503,1073",No Mask
2025-08-12T17:29:10.725964,"297,286,1538,1072",No Mask
2025-08-12T17:29:10.851364,"260,239,1568,1072",No Mask
2025-08-12T17:29:10.985552,"256,194,1618,1070",No Mask
2025-08-12T17:29:11.126792,"273,163,1650,1071",No Mask
2025-08-12T17:29:11.251866,"269,153,1676,1071",No Mask
2025-08-12T17:29:11.388164,"274,141,1679,1071",No Mask
2025-08-12T17:29:11.521834,"204,129,1680,1070",No Mask
2025-08-12T17:29:11.657304,"208,111,1672,1068",No Mask
2025-08-12T17:29:11.790123,"198,88,1707,1067",No Mask
2025-08-12T17:29:11.926200,"177,79,1730,1068",No Mask
